model,layer,score
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.2.conv1,1.4286
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.2.conv2,-1.5714
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.2.conv2,0.2500
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.2.bn1,0.5714
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.2.bn1,-0.9286
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.2.bn2,-0.1786
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.2.bn2,-3.6429
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.3.conv1,0.2500
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.3.conv1,-0.5714
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.3.conv2,0.2500
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.3.conv2,1.7143
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.3.bn1,2.9643
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.3.bn1,3.0000
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.3.bn2,0.0714
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.3.bn2,-2.1071
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.0.0,-3.8929
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.0.0,-0.6071
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.0.1,-0.5714
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.0.1,-0.4643
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.0.2,-0.5714
